date,FTSEUROFIRST 80,volume
2011-11-28,2909.31,0
2011-11-29,2924.96,0
2011-11-30,3048.69,0
2011-12-01,3026.23,0
2011-12-02,3059.26,0
2011-12-05,3092.74,0
2011-12-06,3074.93,0
2011-12-07,3060.84,0
2011-12-08,2989.58,0
2011-12-09,3054.98,0
2011-12-12,2963.85,0
2011-12-13,2952.38,0
2011-12-14,2881.7,0
2011-12-15,2905.09,0
2011-12-16,2880.31,0
2011-12-19,2879.78,0
2011-12-20,2957.02,0
2011-12-21,2933.32,0
2011-12-22,2969.92,0
2011-12-23,2993.06,0
2011-12-27,2994.49,0
2011-12-28,2951.67,0
2011-12-29,2997.37,0
2011-12-30,3027.58,0
2012-01-02,3095.57,0
2012-01-03,3120.24,0
2012-01-04,3071.94,0
2012-01-05,3030.57,0
2012-01-06,3013.01,0
2012-01-09,3000.6,0
2012-01-10,3076.37,0
2012-01-11,3065.45,0
2012-01-12,3072.2,0
2012-01-13,3062.44,0
2012-01-16,3092.34,0
2012-01-17,3136.62,0
2012-01-18,3130.49,0
2012-01-19,3183.92,0
2012-01-20,3176.45,0
2012-01-23,3194.65,0
2012-01-24,3180.49,0
2012-01-25,3167.73,0
2012-01-26,3221.06,0
2012-01-27,3190.46,0
2012-01-30,3148.26,0
2012-01-31,3165.84,0
2012-02-01,3237.06,0
2012-02-02,3247.1,0
2012-02-03,3295.74,0
2012-02-06,3285.49,0
2012-02-07,3290.22,0
2012-02-08,3289.96,0
2012-02-09,3302.18,0
2012-02-10,3251.77,0
2012-02-13,3266.9,0
2012-02-14,3261.9,0
2012-02-15,3272.14,0
2012-02-16,3265.59,0
2012-02-17,3305.85,0
2012-02-20,3345.88,0
2012-02-21,3333.3,0
2012-02-22,3303.91,0
2012-02-23,3289.3,0
2012-02-24,3308.7,0
2012-02-27,3294.54,0
2012-02-28,3303.44,0
2012-02-29,3293.37,0
2012-03-01,3338.86,0
2012-03-02,3337.12,0
2012-03-05,3317.13,0
2012-03-06,3206.9,0
2012-03-07,3230.19,0
2012-03-08,3298.73,0
2012-03-09,3303.74,0
2012-03-12,3304.23,0
2012-03-13,3358.99,0
2012-03-14,3379.43,0
2012-03-15,3402.06,0
2012-03-16,3418.78,0
2012-03-19,3418.96,0
2012-03-20,3378.83,0
2012-03-21,3368.87,0
2012-03-22,3321.38,0
2012-03-23,3318.37,0
2012-03-26,3342.21,0
2012-03-27,3325.21,0
2012-03-28,3289.51,0
2012-03-29,3233.88,0
2012-03-30,3268.8,0
2012-04-02,3302.16,0
2012-04-03,3249.94,0
2012-04-04,3165.84,0
2012-04-05,3161.05,0
2012-04-10,3070.03,0
2012-04-11,3095.94,0
